"Formatted.Date","Summary","Precip.Type","Temperature..C.","Apparent.Temperature..C.","Humidity","Wind.Speed..km.h.","Wind.Bearing..degrees.","Visibility..km.","Pressure..millibars.","Daily.Summary","Air.Quality"
"4/1/2006","Partly Cloudy","rain",9.472222222,7.388888889,0.89,14.1197,251,15.8263,1015.13,"",7.07145936239719
"4/2/2006","Partly Cloudy","rain",9.355555556,7.227777778,0.86,14.2646,259,15.8263,1015.63,"Partly cloudy throughout the day.",10.0987258104955
"4/3/2006","Mostly Cloudy","rain",9.377777778,9.377777778,0.89,3.9284,204,14.9569,1015.94,"Partly cloudy throughout the day.",13.9744634691909
"4/4/2006","Partly Cloudy","rain",8.288888889,5.944444444,0.83,14.1036,269,15.8263,1016.41,"Partly cloudy throughout the day.",0.840200629037252
"4/5/2006","Mostly Cloudy","rain",8.755555556,6.977777778,0.83,11.0446,259,15.8263,976.812625661376,"Partly cloudy throughout the day.",3.44974656089838
"4/6/2006","Partly Cloudy","rain",9.222222222,7.111111111,0.85,13.9587,258,14.9569,1016.66,"Partly cloudy throughout the day.",14.743308426587
"4/7/2006","Partly Cloudy","rain",7.733333333,5.522222222,0.95,12.3648,259,9.982,1016.72,"Partly cloudy throughout the day.",7.47098736282822
"4/8/2006","Partly Cloudy","rain",8.772222222,6.527777778,0.89,14.1519,211.383189940437,9.982,1016.84,"Partly cloudy throughout the day.",0.758280829525614
"4/9/2006","Partly Cloudy","rain",10.82222222,10.82222222,0.82,11.3183,259,9.982,1017.37,"Partly cloudy throughout the day.",9.10533672491843
"4/10/2006","Partly Cloudy","rain",13.77222222,13.77222222,0.72,12.5258,279,9.982,1017.22,"Partly cloudy throughout the day.",1.47078435579387
"4/11/2006","Partly Cloudy","rain",16.01666667,16.01666667,0.67,17.5651,290,11.2056,976.812625661376,"Partly cloudy throughout the day.",2.85180525515033
"4/12/2006","Partly Cloudy","rain",17.14444444,17.14444444,0.54,19.7869,211.383189940437,11.4471,1017.74,"",14.8895503397838
"4/13/2006","Partly Cloudy","rain",15.7996688742755,17.8,0.55,21.9443,281,11.27,1017.59,"Partly cloudy throughout the day.",12.7785174620583
"4/14/2006","Partly Cloudy","rain",17.33333333,17.33333333,0.51,20.6885,289,11.27,1017.48,"Partly cloudy throughout the day.",0.194309221829522
"4/15/2006","Partly Cloudy","rain",18.87777778,18.87777778,0.47,15.3755,262,11.4471,1017.17,"Partly cloudy throughout the day.",24.5383372002041
"4/16/2006","Partly Cloudy","rain",18.91111111,18.91111111,0.46,10.4006,288,11.27,1016.47,"Partly cloudy throughout the day.",7.40274995878586
"4/17/2006","Partly Cloudy","rain",15.7996688742755,15.38888889,0.6,14.4095,251,11.27,1016.15,"Partly cloudy throughout the day.",7.42130669865203
"4/18/2006","Mostly Cloudy","rain",15.55,15.55,0.63,11.1573,230,11.4471,1016.17,"Partly cloudy throughout the day.",13.4066812414545
"4/19/2006","Mostly Cloudy","rain",14.25555556,14.25555556,0.69,10.1623050925926,163,11.2056,1015.82,"Partly cloudy throughout the day.",14.9893246012507
"4/20/2006","Mostly Cloudy","rain",15.7996688742755,13.14444444,0.7,7.6314,139,11.2056,1015.83,"Partly cloudy throughout the day.",7.29559962181725
"4/21/2006","Mostly Cloudy","rain",11.55,11.55,0.77,7.3899,147,11.0285,1015.85,"Partly cloudy throughout the day.",6.00034086281603
"4/22/2006","Mostly Cloudy","rain",15.7996688742755,11.18333333,0.76,4.9266,160,9.982,1015.77,"Partly cloudy throughout the day.",2.8594814602809
"4/23/2006","Partly Cloudy","rain",10.11666667,10.11666667,0.79,6.6493,163,15.8263,1015.4,"Partly cloudy throughout the day.",7.90451628678926
"4/24/2006","Mostly Cloudy","rain",10.2,10.2,0.77,3.9284,152,10.9538313284865,1015.51,"Partly cloudy throughout the day.",-5.84976777086701
"4/25/2006","Partly Cloudy","rain",10.42222222,10.42222222,0.62,16.9855,150,15.8263,1014.4,"Mostly cloudy throughout the day.",10.8038046445409
"4/26/2006","Partly Cloudy","rain",9.911111111,7.566666667,0.66,17.2109,149,15.8263,1014.2,"Mostly cloudy throughout the day.",11.3873066539972
"4/27/2006","Mostly Cloudy","rain",11.18333333,11.18333333,0.8,10.8192,163,14.9569,1008.71,"Mostly cloudy throughout the day.",7.25753563560698
"4/28/2006","Partly Cloudy","rain",7.155555556,5.044444444,0.79,11.0768,211.383189940437,15.8263,1014.47,"Mostly cloudy throughout the day.",8.96210055287186
